iter	Passed	Remaining
0	124	12358
1	252	12375
2	253	8208
3	376	9036
4	508	9655
5	643	10079
6	780	10373
7	901	10365
8	1025	10372
9	1145	10312
10	1268	10266
11	1394	10223
12	1519	10166
13	1636	10054
14	1759	9968
15	1886	9906
16	2004	9788
17	2136	9734
18	2265	9659
19	2330	9321
20	2452	9227
21	2577	9139
22	2703	9049
23	2824	8945
24	2940	8820
25	2955	8410
26	3076	8316
27	3198	8225
28	3324	8139
29	3449	8048
30	3568	7941
31	3694	7850
32	3811	7738
33	3933	7635
34	4052	7526
35	4177	7427
36	4190	7134
37	4311	7034
38	4437	6941
39	4558	6838
40	4680	6735
41	4802	6631
42	4923	6526
43	5045	6421
44	5078	6206
45	5198	6102
46	5318	5997
47	5442	5896
48	5565	5792
49	5690	5690
50	5812	5584
51	5933	5476
52	6055	5369
53	6175	5260
54	6291	5147
55	6415	5040
56	6536	4931
57	6655	4819
58	6778	4710
59	6896	4597
60	7021	4489
61	7144	4378
62	7267	4268
63	7413	4169
64	7548	4064
65	7670	3951
66	7798	3840
67	7917	3725
68	8042	3613
69	8162	3498
70	8282	3383
71	8403	3268
72	8526	3153
73	8643	3036
74	8772	2924
75	8893	2808
76	9019	2694
77	9141	2578
78	9259	2461
79	9384	2346
80	9505	2229
81	9630	2113
82	9750	1997
83	9873	1880
84	9993	1763
85	10114	1646
86	10237	1529
87	10297	1404
88	10421	1287
89	10543	1171
90	10667	1054
91	10789	938
92	10915	821
93	11036	704
94	11155	587
95	11278	469
96	11403	352
97	11520	235
98	11654	117
99	11782	0
