iter	Passed	Remaining
0	2	635
1	4	567
2	6	523
3	8	495
4	10	493
5	11	462
6	12	443
7	14	426
8	15	417
9	16	405
10	18	401
11	20	403
12	21	394
13	23	387
14	24	384
15	26	382
16	27	383
17	29	377
18	30	373
19	32	368
20	33	364
21	34	361
22	36	356
23	37	353
24	38	350
25	40	348
26	41	344
27	43	341
28	44	338
29	45	335
30	47	332
31	48	327
32	49	323
33	50	321
34	51	318
35	53	315
36	54	313
37	55	311
38	57	309
39	58	308
40	60	306
41	61	304
42	62	302
43	64	300
44	65	299
45	67	298
46	68	295
47	69	292
48	70	291
49	72	289
50	73	288
51	75	286
52	76	284
53	78	283
54	79	281
55	80	279
56	81	276
57	83	274
58	84	273
59	85	272
60	87	269
61	88	267
62	89	265
63	91	264
64	92	262
65	93	261
66	95	260
67	96	259
68	98	258
69	99	256
70	101	254
71	102	253
72	103	252
73	105	251
74	106	249
75	108	247
76	109	246
77	110	244
78	112	243
79	113	241
80	115	240
81	116	238
82	117	236
83	119	235
84	120	234
85	121	232
86	123	231
87	125	230
88	126	229
89	128	228
90	129	227
91	131	225
92	133	225
93	134	223
94	136	222
95	137	221
96	139	220
97	141	219
98	143	218
99	144	217
100	146	215
101	147	214
102	149	212
103	150	211
104	152	210
105	153	209
106	155	207
107	156	205
108	157	204
109	159	202
110	160	201
111	162	199
112	163	197
113	164	196
114	165	194
115	167	193
116	168	191
117	170	190
118	171	188
119	172	186
120	174	185
121	175	184
122	176	182
123	178	181
124	179	179
125	181	178
126	183	177
127	184	176
128	186	174
129	187	173
130	189	171
131	190	170
132	192	169
133	193	167
134	194	166
135	196	164
136	198	163
137	199	162
138	201	160
139	203	159
140	204	158
141	206	156
142	207	155
143	209	153
144	210	152
145	212	151
146	213	149
147	215	148
148	216	146
149	218	145
150	220	144
151	221	142
152	223	141
153	224	140
154	226	138
155	228	137
156	229	136
157	231	134
158	233	133
159	234	131
160	235	130
161	237	128
162	238	127
163	239	125
164	241	124
165	242	122
166	244	121
167	245	119
168	246	118
169	248	116
170	249	115
171	251	113
172	252	112
173	254	111
174	256	109
175	257	108
176	258	106
177	260	105
178	261	103
179	263	102
180	264	100
181	266	99
182	267	97
183	269	96
184	270	95
185	271	93
186	273	92
187	274	90
188	276	89
189	278	87
190	279	86
191	281	84
192	282	83
193	283	81
194	284	80
195	286	78
196	287	77
197	288	75
198	290	74
199	291	72
200	293	71
201	294	70
202	296	68
203	297	67
204	298	65
205	300	64
206	301	62
207	303	61
208	304	59
209	305	58
210	307	56
211	309	55
212	310	53
213	311	52
214	313	50
215	314	49
216	315	47
217	316	46
218	318	45
219	319	43
220	321	42
221	322	40
222	323	39
223	325	37
224	326	36
225	328	34
226	329	33
227	330	31
228	331	30
229	333	28
230	334	27
231	335	26
232	337	24
233	339	23
234	340	21
235	341	20
236	343	18
237	344	17
238	345	15
239	347	14
240	348	13
241	349	11
242	350	10
243	352	8
244	353	7
245	354	5
246	355	4
247	357	2
248	359	1
249	360	0
